author_username,created_at,geotagging_bbox,geotagging_confidence,geotagging_lat,geotagging_lon,place_coordinates,place_full_name,text,url
Maui_Fire_Dept,1690988423000,null,0,null,null,,,"Taking the time to clear brush and flammable items from around your home and property increase the likelihood your home will survive a wildfire.  

Keeping a 30-foot wide area,  free from combustibles is the best way to create defensible space around your dwelling or business. https://t.co/SKhzsct1E3",https://twitter.com/Maui_Fire_Dept/status/1686753818002780160
HawaiiWildfire,1691016683000,"[18.86546,28.517269,-178.443593,-154.755792]",0.8431288599967957,19.593801499999998,-155.42837009716908,,,"Be wildfire prepared! Protect your home and loved ones with our “Ready, Set, GO!” Wildland Fire Action Guide:
https://t.co/DOvAHTdn1N

#WildfireReadyHI #WildfireReady #wildfireprepared #wildfire #WildfireDroughtLookout #DoYourPart #HWMO #Hawaii #Maui #Molokai #Lanai #Oahu #Kauai https://t.co/ttEawgMFbB",https://twitter.com/HawaiiWildfire/status/1686872349969166336
edgarrmcgregor,1691591817000,"[20.5744337,21.031561,-156.697263,-155.9790919]",0.7664157152175903,20.802956799999997,-156.31068331602177,,,"The scene in Lahaina, Maui this morning is absolutely devastating. 

The entire town is being destroyed by an intense wildfire, forcing residents to sheek shelter in the ocean.

Make no mistake, climate change is making scenes like this more frequent. https://t.co/dttFnAwEeJ",https://twitter.com/edgarrmcgregor/status/1689284636361248768
michaelmiraflor,1691631909000,"[20.5744337,21.031561,-156.697263,-155.9790919]",0.9366075992584229,20.802956799999997,-156.31068331602177,,,"My brother’s girlfriend’s cousin and his family were caught in their vehicle in Maui while the wildfires suddenly erupted around them. 

No cell service, so Apple Emergency SOS was the only way they could get in contact with first responders. Literally saved their lives. https://t.co/PpxNwTGOAf",https://twitter.com/michaelmiraflor/status/1689452794443632640
US_Stormwatch,1691569994000,"[20.8555755,20.918344,-156.6949,-156.6503197]",0.5390304923057556,20.8738769,-156.6776784,,,"Wildfire has engulfed businesses on Front Street in downtown Lahaina in West Maui, home to 12,000 people.  

The Coast Guard is responding to people who were forced to go into the ocean due to the flames.   

Video credit to Alan Dickar, a local resident of Lahaina. https://t.co/8uiyHQP55B",https://twitter.com/US_Stormwatch/status/1689193105487257600
JShadab1,1692057455000,"[20.860137,20.919486,-156.537354,-156.47848]",0.8368351459503174,20.8905443,-156.503093,,,"#MauiFires #Maui #Hawaii #lahaina #LahainaFires #OprahWinfrey #Oprah 
STOP Pushing a conspiracy theory that Oprah Winfrey is somehow responsible for the Maui, Hawaii wildfires because her estate didn't burn down. 
Oprah has literally been on the ground helping people. She has been providing cots, pillows, toiletries, and more to shelters, like this one in Wailuku, Hawaii, where she can also be seen helping out.
I get it. People don't like Oprah's politics.",https://twitter.com/JShadab1/status/1691237662529851392
US_Stormwatch,1691714423000,"[20.8555755,20.918344,-156.6949,-156.6503197]",0.9614925384521484,20.8738769,-156.6776784,,,"The Maui fire that tore through Lahaina is one of the worst wildfire disasters in US history.

The town of 12,000 people is virtually destroyed, with at least 53 dead and many more missing. More than 1,700 structures have been destroyed, including entire neighborhoods.  

Maui is in great need of outside assistance. 

Imagery via @Maxar",https://twitter.com/US_Stormwatch/status/1689798885341069312
StrictlyChristo,1691609013000,"[20.5744337,21.031561,-156.697263,-155.9790919]",0.7909512519836426,20.802956799999997,-156.31068331602177,,,Fleeing the wildfires in Maui. 😱 https://t.co/lzJsiVp0O2,https://twitter.com/StrictlyChristo/status/1689356760476499968
TulsiGabbard,1691626377000,"[18.86546,28.517269,-178.443593,-154.755792]",0.8011886477470398,19.593801499999998,-155.42837009716908,,,"My heart is breaking for Hawaii.  Please say a prayer for our firefighters, first responders and families, esp on Maui and Hawaii Island whose lives are at risk because of the catastrophic wildfires and hurricane winds 🙏🏽 https://t.co/RKG4dXCMDR",https://twitter.com/TulsiGabbard/status/1689429590115323904
Key2Eternity,1692057056000,"[38.4511785,39.8394337,-75.7890403,-74.9849355]",0.9834288954734802,38.6920451,-75.4013315,,,"Commander in Thief Joe Biden Clearly Shows he Just Doesn't Care; Refuses to Comment on Maui Wildfire Tragedy,   Karine Jean-Pierre Says Lazy Joe has No Plans to Visit Disaster Zone 
 Biden on Beach Vacation in Delaware replied ""No Comment"" about 100 Dead, 1,000 missing on Maui. https://t.co/evVTAN8HR8",https://twitter.com/Key2Eternity/status/1691235989795098624
